"","Style","Artist","Painting","URL"
"133","Impressionism","Giovanni Fattori ","Silvestro Lega, nella pittura di Riva al Mare","https://uploads1.wikiart.org/images/giovanni-fattori/silvestro-lega-nella-pittura-di-riva-al-mare-1867.jpg!Large.jpg"
"134","Impressionism","Giovanni Fattori ","Nonne mit Esel","https://uploads7.wikiart.org/images/giovanni-fattori/nonne-mit-esel-1890.jpg!Large.jpg"
"135","Impressionism","Camille Pissarro ","Woman Carrying a Pitcher on Her Head","https://uploads6.wikiart.org/images/camille-pissarro/woman-carrying-a-pitcher-on-her-head.jpg!Large.jpg"
"136","Impressionism","Camille Pissarro ","St. Stephen's Church, Lower Norwood","https://uploads8.wikiart.org/images/camille-pissarro/st-stephen-s-church-lower-norwood-1870.jpg!Large.jpg"
"137","Impressionism","Edouard Manet ","At the Cafe-Concert","https://uploads4.wikiart.org/images/edouard-manet/at-the-cafe-concert.jpg!Large.jpg"
"138","Impressionism","Edouard Manet ","Rochefort's Escape","https://uploads1.wikiart.org/images/edouard-manet/rochefort-s-escape-1881-1.jpg!Large.jpg"
"139","Impressionism","Edgar Degas ","The Millinery Shop","https://uploads3.wikiart.org/00224/images/edgar-degas/edgar-germain-hilaire-degas-011.jpg!Large.jpg"
"140","Impressionism","Edgar Degas ","Mlle Fiocre in the Ballet """"The Source""""","https://uploads6.wikiart.org/images/edgar-degas/mlle-fiocre-in-the-ballet-the-source-1868.jpg!Large.jpg"
"141","Impressionism","Claude Monet ","A Woman Reading","https://uploads2.wikiart.org/images/claude-monet/a-woman-reading(1).jpg!Large.jpg"
"142","Impressionism","Claude Monet ","Corner of the Apartment","https://uploads7.wikiart.org/images/claude-monet/corner-of-the-apartment.jpg!Large.jpg"
"143","Art Deco","Jean Dupas ","La Procession","https://uploads8.wikiart.org/images/jean-dupas/la-procession-1918.jpg"
"144","Art Deco","Jean Dupas ","Bal des Etudiants Poster","https://uploads0.wikiart.org/images/jean-dupas/bal-des-tudiants-poster-1927.jpg"
"145","Art Deco","Zinaida Serebriakova ","Still life attributes of art","https://uploads7.wikiart.org/images/zinaida-serebriakova/still-life-attributes-of-art-1922.jpg!Large.jpg"
"146","Art Deco","Zinaida Serebriakova ","On the beach","https://uploads0.wikiart.org/images/zinaida-serebriakova/on-the-beach-1927.jpg!Large.jpg"
"147","Art Deco","Eugeniusz Zak ","Landscape with a Palace","https://uploads3.wikiart.org/images/eugeniusz-ak/landscape-with-a-palace-1916.jpg!Large.jpg"
"148","Art Deco","Eugeniusz Zak ","Zak Pierrot","https://uploads4.wikiart.org/images/eugeniusz-ak/zak-pierrot.jpg!Large.jpg"
"149","Art Deco","Raphael Delorme ","Composition With Nudes","https://uploads8.wikiart.org/images/raphael-delorme/composition-with-nudes.jpg"
"150","Art Deco","Raphael Delorme ","Circus Parade","https://uploads8.wikiart.org/images/raphael-delorme/circus-parade.jpg"
"151","Art Deco","John Austen ","Hamlet","https://uploads0.wikiart.org/images/john-austen/hamlet-7.jpg!Large.jpg"
"152","Art Deco","John Austen ","Hamlet","https://uploads1.wikiart.org/images/john-austen/hamlet(1).jpg!Large.jpg"
"153","Art Deco","Archibald Motley ","Dans La Rue, Paris","https://uploads3.wikiart.org/00230/images/archibald-motley/dans-la-rue-paris.jpg"
"154","Art Deco","Archibald Motley ","Portrait of Grandmother","https://uploads1.wikiart.org/00230/images/archibald-motley/portrait-of-grandmother.jpg!Large.jpg"
"155","Post Impressionism","Louis Comfort Tiffany","Landscape with Figure","https://uploads1.wikiart.org/images/louis-comfort-tiffany/landscape-with-figure-1870.jpg!Large.jpg"
"156","Post Impressionism","Louis Comfort Tiffany","Market Day","https://uploads8.wikiart.org/images/louis-comfort-tiffany/market-day-1873.jpg!Large.jpg"
"157","Post Impressionism","Paul Cezanne ","Ile de France Landscape","https://uploads5.wikiart.org/images/paul-cezanne/ile-de-france-landscape-1880-1.jpg!Large.jpg"
